# 1
'2015-03-28 11:40:20 +03',1,sec,'2015-03-28 11:40:20 +03'
'2015-03-28 11:40:20 +03',1,min,'2015-03-28 11:41:00 +03'
'2015-03-28 11:40:20 +03',1,hour,'2015-03-28 12:00:00 +03'
'2015-03-28 11:40:20 +03',1,day,'2015-03-29 00:00:00 +03'
'2015-03-28 11:40:20 +03',1,week,'2015-03-23 00:00:00 +03'
'2015-03-28 11:40:20 +03',1,month,'2015-04-01 00:00:00 +03'
'2015-03-28 11:40:20 +03',1,year,'2016-01-01 00:00:00 +03'
# 3
'2015-04-28 11:40:20 +03',3,sec,'2015-04-28 11:40:21 +03'
'2015-04-28 11:40:20 +03',3,min,'2015-04-28 11:42:00 +03'
'2015-04-28 11:40:20 +03',3,hour,'2015-04-28 12:00:00 +03'
'2015-04-28 11:40:20 +03',3,day,'2015-04-30 00:00:00 +03'
'2015-04-28 11:40:20 +03',3,week,'2015-04-23 00:00:00 +03'
'2015-04-28 11:40:20 +03',3,month,'2015-06-01 00:00:00 +03'
'2015-04-28 11:40:20 +03',3,year,'2016-01-01 00:00:00 +03'
