# 1
2015-03-27 11:40:20 +03,1,sec,2015-03-27 11:40:21 +03
2015-03-27 11:40:20 +03,1,min,2015-03-27 11:41:20 +03
2015-03-27 11:40:20 +03,1,hour,2015-03-27 12:40:20 +03
2015-03-27 11:40:20 +03,1,day,2015-03-28 11:40:20 +03
2015-03-27 11:40:20 +03,1,week,2015-04-03 11:40:20 +03
2015-03-27 11:40:20 +03,1,month,2015-04-27 11:40:20 +03
2015-03-27 11:40:20 +03,1,year,2016-03-27 11:40:20 +03
# 3
2015-03-27 11:40:20 +03,3,sec,2015-03-27 11:40:23 +0300
2015-03-27 11:40:20 +03,3,min,2015-03-27 11:43:20 +0300
2015-03-27 11:40:20 +03,3,hour,2015-03-27 14:40:20 +0300
2015-03-27 11:40:20 +03,3,day,2015-03-30 11:40:20 +0300
2015-03-27 11:40:20 +03,3,week,2015-04-17 11:40:20 +0300
2015-03-27 11:40:20 +03,3,month,2015-06-27 11:40:20 +0300
2015-03-27 11:40:20 +03,3,year,2018-03-27 11:40:20 +0300
# 100
2015-03-27 11:40:20 +03,100,sec,2015-03-27 11:42:00 +0300
2015-03-27 11:40:20 +03,100,min,2015-03-27 13:20:20 +0300
2015-03-27 11:40:20 +03,100,hour,2015-03-31 15:40:20 +0300
2015-03-27 11:40:20 +03,100,day,2015-07-05 11:40:20 +0300
2015-03-27 11:40:20 +03,100,week,2017-02-24 11:40:20 +0300
2015-03-27 11:40:20 +03,100,month,2023-07-27 11:40:20 +0300
2015-03-27 11:40:20 +03,100,year,2115-03-27 11:40:20 +0300
# 1000
2015-03-27 11:40:20 +03,1000,sec,2015-03-27 11:57:00 +0300
2015-03-27 11:40:20 +03,1000,min,2015-03-28 04:20:20 +0300
2015-03-27 11:40:20 +03,1000,hour,2015-05-08 03:40:20 +0300
2015-03-27 11:40:20 +03,1000,day,2017-12-21 11:40:20 +0300
2015-03-27 11:40:20 +03,1000,week,2034-05-26 11:40:20 +0300
2015-03-27 11:40:20 +03,1000,month,2098-07-27 11:40:20 +0300
2015-03-27 11:40:20 +03,1000,year,3015-03-27 11:40:20 +0300
# 0
2015-03-27 11:40:20 +03,0,sec,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,min,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,hour,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,day,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,week,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,month,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,0,year,2015-03-27 11:40:20 +0300
# -1
2015-03-27 11:40:20 +03,-1,sec,2015-03-27 11:40:19 +0300
2015-03-27 11:40:20 +03,-1,min,2015-03-27 11:39:20 +0300
2015-03-27 11:40:20 +03,-1,hour,2015-03-27 10:40:20 +0300
2015-03-27 11:40:20 +03,-1,day,2015-03-26 11:40:20 +0300
2015-03-27 11:40:20 +03,-1,week,2015-03-20 11:40:20 +0300
2015-03-27 11:40:20 +03,-1,month,2015-02-27 11:40:20 +0300
2015-03-27 11:40:20 +03,-1,year,2014-03-27 11:40:20 +0300
# 1/2
2015-03-27 11:40:20 +03,1/2,sec,2015-03-27 11:40:20.500 +0300
2015-03-27 11:40:20 +03,1/2,min,2015-03-27 11:40:50 +0300
2015-03-27 11:40:20 +03,1/2,hour,2015-03-27 12:10:20 +0300
2015-03-27 11:40:20 +03,1/2,day,2015-03-27 23:40:20 +0300
2015-03-27 11:40:20 +03,1/2,week,2015-03-30 23:40:20 +0300
2015-03-27 11:40:20 +03,1/2,month,2015-03-27 11:40:20 +0300
2015-03-27 11:40:20 +03,1/2,year,2015-03-27 11:40:20 +0300
# edge cases
2015-03-27 11:40:20 +03,2/7,week,2015-03-29 11:40:20 +0300
2017-05-29 00:00:00 +03,9,month,2018-03-01 00:00:00 +03
2017-05-29 00:00:00 +03,10,month,2018-03-29 00:00:00 +03
